cartridge,dependencies
bc_catalog_orm,app:bc_address:bc_application:bc_catalog:bc_foundation:bc_image:bc_mvc:bc_organization:bc_pmc:bc_repository:bc_user:businessobject:configuration:core:jmx:orm:xcs
bc_preview_orm,app:bc_application:bc_pmc:bc_preview:bc_repository:businessobject:cache:configuration:core:jmx:orm:pf_extension:pf_property
sld_pmc,app:bc_application:bc_foundation:bc_i18n:bc_image:bc_pmc:bc_preview:bc_repository:bc_search:bc_service:businessobject:cache:component:configuration:core:emf:isml:jmx:orm:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property:pipeline:xcs
sld_mcm,app:bc_application:bc_mvc:bc_organization:bc_pmc:core:orm:sld_pmc
ui_web_library,app:bc_application:bc_repository:businessobject:core:isml:jmx:pf_extension:pf_property:servletengine
sld_preview,app:bc_application:bc_catalog_orm:bc_customer:bc_customer_segment:bc_foundation:bc_image:bc_marketing:bc_mvc:bc_organization:bc_pmc:bc_preview:bc_preview_orm:bc_pricing:bc_product:bc_repository:bc_shipping:businessobject:component:configuration:core:emf:isml:jmx:orm:pf_objectgraph:pf_objectgraph_guice:pf_property:sld_pmc:ui_web_library:xcs
sld_ch_sf_base,ac_taxation_std:app:bc_abtest:bc_abtest_orm:bc_address:bc_application:bc_basket:bc_basket_orm:bc_catalog:bc_customer:bc_customer_catalog_filter:bc_customer_orm:bc_customer_segment:bc_foundation:bc_image:bc_mail:bc_marketing:bc_mvc:bc_order:bc_orderprocess:bc_organization:bc_payment:bc_pmc:bc_preview:bc_pricing:bc_product:bc_product_pricing:bc_promotion:bc_rating:bc_region:bc_repository:bc_search:bc_user:bc_warranty:bts:businessobject:cache:component:configuration:core:emf:isml:jmx:orm:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property:pipeline:sld_ch_b2c_base:sld_mcm:sld_pmc:sld_preview:xcs
ac_cxml,bc_address_orm:bc_basket:bc_customer:bc_foundation:bc_organization:bc_product:bc_requisition:bts:businessobject:core:isml:sld_ch_sf_base:xcs
bc_punchout_cxml,bc_address:bc_application:bc_repository:bc_user:businessobject:cache:configuration:core:orm
ac_cxml_order_injection,app:bc_address:bc_application:bc_basket:bc_customer:bc_handler_chain:bc_order:bc_payment:bc_pricing:bc_product:bc_punchout_cxml:bc_repository:bc_shipping:bc_shipping_data:bc_user:bts:businessobject:core:isml:orm:rest:xcs
ac_email_marketing_std,app:bc_address:bc_application:bc_customer:bc_gdpr:bc_handler_chain:bc_marketing:bc_repository:bc_user:businessobject:cache:configuration:core:isml:jmx:orm:pf_property
ac_giftcard_std,app:bc_address:bc_application:bc_customer:bc_foundation:bc_giftcard:bc_handler_chain:bc_mvc:bc_order:bc_payment:bc_payment_service:bc_product:bc_repository:bc_service:bc_user:bts:businessobject:cache:configuration:core:isml:jmx:orm:pf_objectgraph:pf_property:xcs
ac_gtm,app:bc_application:bc_basket:bc_catalog:bc_foundation:bc_marketing:bc_order:bc_organization:bc_payment:bc_pmc:bc_product:bc_repository:bc_service:businessobject:configuration:core:jmx:orm:sld_ch_sf_base:xcs
ac_gtm_google_analytics,ac_gtm:bc_service:businessobject:core
ac_gtm_sf,ac_gtm_google_analytics:core:isml
ac_mail,bc_mail:bc_service:businessobject:cache:configuration:core:orm
ac_oidc,bc_address:bc_organization:bc_user:businessobject:configuration:core:pf_objectgraph:pipeline:rest
bc_backoffice,bc_application:bc_mail:bc_organization:bc_user:core:ui_web_library
ac_oidc_backoffice,ac_oidc:bc_backoffice:bc_organization:core
ac_order_export_xml,app:bc_address:bc_basket_orm:bc_customer:bc_order:bc_order_impex:bc_orderprocess:bc_organization_hierarchies:bc_payment:bc_pricing:bc_product:bc_promotion:bc_service:bc_user:bts:businessobject:configuration:core:orm:pf_objectgraph:sld_ch_b2c_base:xcs
ac_order_history_service,app:bc_address:bc_application:bc_basket_orm:bc_customer:bc_order:bc_orderprocess:bc_payment:bc_pricing:bc_product:bc_region:bc_repository:bc_service:bc_shipping_data:bc_user:bts:businessobject:configuration:core:pf_property:xcs
ac_order_status_import_xml,bc_marketing:bc_order:bc_order_impex:bc_orderprocess:bc_payment:bc_repository:bc_service:bts:businessobject:configuration:core:orm:sld_ch_b2c_base
ac_order_submission_service,bc_address:bc_application:bc_customer:bc_mvc:bc_order:bc_order_impex:bc_organization_hierarchies:bc_payment:bc_pricing:bc_product:bc_promotion:bc_repository:bc_service:bc_shipping:bc_store:bc_user:bts:businessobject:configuration:core:orm:rest:xcs
ac_organization_hierarchies,app:bc_address:bc_application:bc_customer:bc_organization_hierarchies:bc_repository:bc_service:bc_user:businessobject:configuration:core:rest
ac_payment_std,bc_address:bc_basket:bc_mvc:bc_payment:bc_product:bc_service:bts:businessobject:core:isml:jmx:pf_property
bc_pdf,core
ac_pdf_flyingsaucer,app:bc_pdf:bc_service:configuration:core
app_bo_rest_job,app:bc_application:bc_mvc:bc_organization:bc_repository:bc_transport:bc_transport_orm:businessobject:configuration:core:jmx:orm:rest
bc_basket_service,app:bc_address:bc_address_orm:bc_application:bc_basket:bc_basket_orm:bc_customer:bc_handler_chain:bc_image:bc_mvc:bc_order:bc_order_orm:bc_orderprocess:bc_organization:bc_payment:bc_payment_orm:bc_product:bc_promotion:bc_repository:bc_shipping_data:bc_user:bc_warranty:bts:businessobject:configuration:core:orm:pf_extension:pf_objectgraph:pf_property:rest:xcs
bc_dashboard,app:bc_address:bc_application:bc_repository:bc_user:businessobject:core:isml:orm:pf_property:pipeline:ui_web_library
bc_order_service,app:bc_address:bc_application:bc_basket:bc_basket_service:bc_customer:bc_handler_chain:bc_order:bc_promotion:bc_repository:bc_user:businessobject:configuration:core
bc_validation,app:bc_application:bc_repository:businessobject:cache:configuration:core:jmx:orm:pf_property
bc_pmc_validation,app:bc_application:bc_foundation:bc_pmc:bc_repository:bc_validation:businessobject:cache:core:emf:orm
bc_processchain,bc_foundation:bc_organization:businessobject:core:orm:pf_property
bc_processchain_orm,bc_processchain:bc_repository:businessobject:cache:core:orm:pf_property
bc_product_orm,app:bc_address:bc_application:bc_catalog:bc_catalog_orm:bc_foundation:bc_image:bc_mvc:bc_organization:bc_pmc:bc_pricing:bc_product:bc_repository:bc_search:bc_user:businessobject:cache:component:configuration:core:jmx:orm:pf_extension:pf_objectgraph:pf_property:pipeline:xcs
bc_product_validation,app:bc_application:bc_catalog:bc_foundation:bc_image:bc_mvc:bc_organization:bc_pmc:bc_pricing:bc_product:bc_repository:bc_validation:businessobject:cache:component:configuration:core:jmx:orm:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property:xcs
bc_productbinding,bc_image:bc_search:core:orm:xcs
bc_recommendation,app:bc_mvc:bc_product:bc_service:businessobject:configuration:core:isml:orm
bc_tendering,bc_foundation:bc_image:bc_mail:bc_mvc:bc_organization:bc_pricing:bc_requisition:bts:cache:core:jmx:orm:xcs
bc_urlrewrite,app:bc_application:bc_catalog:bc_image:bc_mvc:bc_pmc:bc_product:bc_repository:businessobject:component:configuration:core:emf:isml:jmx:orm:pf_extension:pf_objectgraph_guice:xcs
monitor,app:bc_foundation:bc_mail:configuration:core:isml:jmx:orm:pf_objectgraph:pipeline:runtime
pf_site_prepare,core:pf_cartridge:runtime
smc,app:app_bo_rest_job:bc_backoffice:bc_foundation:bc_organization:bc_service:configuration:core:isml:jmx:monitor:orm:pf_site_prepare:ui_web_library
init_smc,core:smc
sld_system_app,ac_cloudinary:ac_customer_segment_std:ac_email_marketing_std:ac_giftcard_std:ac_inventory_service:ac_organization_hierarchies:ac_payment_std:app:bc_application:bc_backoffice:bc_foundation:bc_mvc:bc_organization:bc_product_orm:bc_productbinding:bc_repository:bc_search:bc_service:bc_tendering:bc_urlrewrite:businessobject:core:isml:pf_objectgraph:pf_objectgraph_guice:pf_site_prepare:rest:ui_web_library:xcs
init_operations,bc_tendering:core:init_smc:sld_system_app
